参数,符号,单位,允许范围或候选集,本研究冻结值,依据等级,依据与取值理由,敏感性/决策后果,更新条件,论文标签
化学体系,chemistry,-,NMC (LiNiMnCo/graphite),NMC,L1_REFERENCE_OBJECT,CALCE 公开页用于选择 NMC/graphite 参考对象；未读取其原始循环拟合参数,决定结论适用化学体系,获得匹配体系原始数据后独立校准并重新验证,REFERENCE_SCALE_NOT_FITTED
额定容量,Q_nom,Ah,2.0,2.0,L1_REFERENCE_SCALE,CALCE INR18650-20R 名称与公开元数据提供容量尺度；不作为样本统计量,缩放容量与容量噪声绝对量,更换参考电芯型号或取得实测初始容量分布,REFERENCE_SCALE_NOT_FITTED
初始内阻,R0,Ohm,0.03--0.10,0.05,L1_REFERENCE_SCALE,公开电芯阻抗量级只约束范围；中心值为仿真冻结值且未拟合,影响内阻绝对值；相对增长结论较稳定,取得同协议同温度的 DCIR/EIS 首循环测量,ASSUMED_UPDATEABLE
循环上限,N,cycle,1--1000,1000,L2_DESIGN,竞赛仿真观察窗设计；不是电芯物理寿命上限,决定删失比例和可观察膝点数量,题目观察窗或实验周期改变,ASSUMED_UPDATEABLE
温度水平,T,degC,25--50,"25,35,45",L2_DESIGN,在 G0 冻结支持域内采用三水平平衡全因子；不代表 CALCE 原测试矩阵,改变 Q1 主效应与压力追踪结果,取得匹配温度试验后按试验水平替换,ASSUMED_UPDATEABLE
倍率水平,C_rate,C,0.5--2.0,"0.5,1.0,2.0",L2_DESIGN,在冻结支持域内采用三水平平衡全因子,改变倍率主效应和 EFC/退化速度,取得匹配倍率协议后替换,ASSUMED_UPDATEABLE
DOD 水平,DOD,%,50--100,"50,80,100",L2_DESIGN,在冻结支持域内采用三水平平衡全因子,显著改变 EFC 与当前仿真主效应排序,取得匹配 DOD 试验后替换,ASSUMED_UPDATEABLE
充电协议,protocol,-,CC-CV,CC-CV,L1_PROTOCOL_REFERENCE,公开老化实验常用协议；本研究仅一个水平因此协议效应不可辨识,限制外推范围；不能估计协议权重,增加可核验多协议数据并重新设计全因子,CONFIRMED_SINGLE_LEVEL
容量衰减系数,alpha,SOH/sqrt(EFC),0.003--0.006,0.004,L2_MECHANISM_CONSTRAINED_ASSUMPTION,平方根退化方向由机理/综述支持；范围与中心均为仿真假设而非实验估计,直接控制容量衰减和终点事件数；V1 OAT 对容量输出敏感,用匹配原始轨迹按训练电芯拟合并留组验证,ASSUMED_UPDATEABLE
内阻增长系数,beta,relative growth/sqrt(EFC),0.005--0.020,0.010,L2_MECHANISM_CONSTRAINED_ASSUMPTION,容量衰退伴随内阻增长的方向有公开依据；数值为仿真假设,控制内阻门槛与组内一致性；V1 OAT 对内阻输出敏感,用同协议 DCIR/EIS 时序拟合,ASSUMED_UPDATEABLE
温度加速系数,k_T,1/degC,0.010--0.030,0.020,L2_MECHANISM_CONSTRAINED_ASSUMPTION,高温加速方向由老化机理支持；线性指数系数为场景设定,影响 Q1 温度权重与高温压力结果,取得多温度同批次重复试验后估计并给区间,ASSUMED_UPDATEABLE
倍率加速系数,k_C,1/C,0.05--0.20,0.10,L2_MECHANISM_CONSTRAINED_ASSUMPTION,倍率增加加速退化方向受支持；数值未实测拟合,影响倍率主效应和高倍率压力结果,取得多倍率同批次重复试验后估计,ASSUMED_UPDATEABLE
DOD 加速系数,k_D,1,0.20--0.80,0.50,L2_MECHANISM_CONSTRAINED_ASSUMPTION,更深循环增加等效损伤方向受支持；数值未实测拟合,当前仿真中主导 DOD 权重；不能推广为真实机理排序,取得多 DOD 同批次试验后估计,ASSUMED_UPDATEABLE
膝点位置,n_k,EFC,600--850,700,L2_DESIGN_ASSUMPTION,用于构造可辨识的分段退化；范围为仿真设计且不是 CALCE 统计结果,控制膝点可见率和后期退化加速时点；V1 OAT 敏感,按预注册膝点算法在训练电芯估计分布,ASSUMED_UPDATEABLE
膝点后斜率倍数,knee_gain,-,2.0,2.0,L2_DESIGN_ASSUMPTION,冻结为最小连续分段模型的场景值,控制膝点后衰退和终点事件数,获得膝点后足够观测时估计,ASSUMED_UPDATEABLE
